LOC	Management	Herbaceous biomass (kg ha -1)	Shannon Index	Woody Cover (%)	Crude Proteine (%)	Ash Content (%)	Relative Feed Value
Ajamil	A	62.26838855	-17.32142857	18	-17.7525269	-16.2245828	-16.25653419
Ajamil	A	50.79856742	-24.17923691	0	-27.87939876	-21.46440267	-10.73207786
Ajamil	A	3.344449738	-24.65116279	0	-17.05857085	-12.88617511	-3.118819649
Ajamil	A	-59.07332434	-29.28970471	10	33.28471306	-20.76074438	-2.623064102
Ajamil	A	-51.27073013	-32.27393114	-1	-5.889307024	-39.91236735	-9.80942631
Ajamil	A	-56.90473883	-29.86407767	1	-24.0510486	-33.44407277	-12.72795832
Ajamil	A	-89.16984289	-31.73261621	0	24.27655242	-16.71484935	-4.454325798
Ajamil	A	-83.79862346	-27.06059466	-15	6.242183791	-8.198181404	26.89526883
Ajamil	A	-45.39960533	-28.54383932	3	-29.65560291	-13.49930794	-0.524355134
Ajamil	B	-65.58651977	-11.84323859	8	-21.88067606	-12.95637988	12.7845803
Ajamil	B	-62.4643197	-3.820598007	4	-8.402836956	-21.510978	14.59991217
Ajamil	B	-77.20426468	-16.24319419	0	-28.43177496	-9.652768731	24.5180548
Ajamil	B	-77.44648318	-7.42637644	8	-7.223563447	-4.220107835	9.133931558
Ajamil	B	-47.68938122	-14.9298171	3	-31.41219799	-27.1328279	-7.403939483
Ajamil	B	-72.03950617	-18.61003861	5	-23.82085998	-26.71278469	-0.606418416
Ajamil	B	-86.68289291	-12.77866242	0	-15.09671525	-32.0765738	4.088471328
Ajamil	B	-84.79328511	-12.09175739	6	-6.94996756	-32.87046264	7.062271942
Ajamil	B	-86.33855981	-14.65043205	0	26.0957901	-30.63040606	-7.106768534
Ajamil	C	13.47962382	-10.12922051	2	-25.87496047	-29.46042949	-8.471111275
Ajamil	C	86.33980073	6.718821905	3	-7.405773615	-37.39364843	-9.936699154
Ajamil	C	-5.401481051	-10.06071119	0	-38.68803757	-27.4531916	7.45844177
Ajamil	C	-12.56101529	-16.86793923	0	-42.40950978	-34.38975826	-12.15674719
Ajamil	C	-7.682926829	-7.68930523	0	-30.53397678	-8.278292203	-5.762394825
Ajamil	C	-27.49687332	-0.289855072	0	-25.83559872	-33.93692182	-11.56521976
Ajamil	C	-59.65873513	-5.896134323	0	-17.7649856	-17.25032474	-4.515433169
Ajamil	C	-67.62103071	-13.68954758	0	-13.79554934	-32.49072168	-2.161080691
Ajamil	C	-74.36859215	-19.55003879	0	-18.59375048	-31.43522886	-2.970818214
Ajamil	D	2.5	2.455546147	0	47.07789797	-9.304817175	16.41648049
Ajamil	D	68.01663352	-3.480278422	2	-31.32233587	-0.26531877	-2.44152432
Ajamil	D	33.94126007	-8.427623878	5	0.290932526	8.299438993	1.47606191
Ajamil	D	-60.38269189	-7.073565077	4	-10.25282494	-16.56872559	-16.68076108
Ajamil	D	-30.53373615	3.703703704	0	-30.95278698	-10.4154106	-2.513305218
Ajamil	D	-78.05742644	9.255978742	0	-20.89903765	-28.90583364	-8.512839196
Ajamil	D	-84.33500914	0.291423813	0	-4.758463578	-14.40434782	-12.66655803
Ajamil	D	-54.96508922	11.83406114	0	-24.55962736	-20.17906501	-9.495890366
Ajamil	D	-83.81474907	-9.358821187	0	-23.1776824	-17.21543721	-15.61623899
Ajamil	CONTROL	85.28272657	-21.85751585	10	0.78964287	14.67805111	-9.34333549
Ajamil	CONTROL	55.96370879	-24.3803332	7	-20.61859498	-12.70890622	-16.5647689
Ajamil	CONTROL	45.05041247	-53.38983051	7	3.710365218	-7.601201029	8.985037051
Ajamil	CONTROL	-10.84154663	-7.996523251	6	-15.09960384	9.620065543	-0.564726696
Ajamil	CONTROL	91.16809117	-25.23255814	10	-33.5871332	-4.636992668	-19.19152719
Ajamil	CONTROL	-68.78694727	-33.84373773	-33	-30.94600906	-9.893182382	-4.454143825
Ajamil	CONTROL	38.99782135	-18.18181818	-10	-20.24595402	-2.640471383	-15.94713197
Ajamil	CONTROL	163.0725682	-32.60785076	-25	-10.85524485	51.09814766	-8.265086732
Ajamil	CONTROL	181.6091954	-39.34792318	-8	-24.73417458	-23.35204304	-30.00068749
SanRoman	A	5.217917676	-52.78761062	0	-24.8833906	19.39006941	-25.21292108
SanRoman	A	16.19385343	-10.84337349	8	-34.34604524	6.882694687	-26.33833519
SanRoman	A	-5.894015862	-37.17090585	21	-31.69865576	13.66845769	-22.70965001
SanRoman	A	-47.7532014	-23.77237265	21	-6.845128932	-2.871600648	-16.64034792
SanRoman	A	-27.56935461	-32.66309205	0	0.254117557	13.43080332	-10.92493142
SanRoman	A	-48.97572467	-24.67771639	9	-15.43175825	5.652855876	-22.10330205
SanRoman	A	4.431675063	-33.46792284	0	6.584807484	11.29070183	-22.09445018
SanRoman	A	-23.05999245	-44.05052975	26	-19.86666726	13.10727283	-14.41245493
SanRoman	A	-12.5952381	-28.57142857	0	-17.15871645	-8.602613673	-26.02663956
SanRoman	B	-63.34577695	-16.19094488	2	-17.75633758	-6.889358108	-13.66238239
SanRoman	B	-54.01115401	-9.10623946	9	-33.64897932	-7.986841269	-16.65123608
SanRoman	B	-38.10900083	-12.11827436	0	-29.12535813	7.463499256	-4.442939952
SanRoman	B	-39.65734896	-25.97014925	0	-35.85047997	-4.605937981	-23.93977711
SanRoman	B	-68.83225054	-28.30913749	0	-6.00691845	10.50411693	7.057418033
SanRoman	B	-53.46787948	-2.723558783	2	-22.74169774	-7.009560612	-21.62640191
SanRoman	B	-42.50372385	-17.38290681	0	-29.69853398	-1.956432921	-29.20165993
SanRoman	B	-32.28017495	-24.85445589	0	2.747321379	17.09363297	-25.53667669
