Gestion	Management	status	Herbaceous biomass (kg ha -1)	Shannon Index	Woody Cover (%)	Crude Proteine (%)	Ash Content (%)	Relative Feed Value
A1	A	inicial	2849.6	2.24	1	11.21285548	7.242477487	109.8048218
A1	A	inicial	4132.4	2.254	0	12.70888086	7.223963418	100.3460933
A1	A	inicial	4198	2.365	0	11.41206432	6.167061002	96.67113524
A2	A	inicial	4446	2.506	0	13.48552586	8.092595228	99.4349766
A2	A	inicial	3714.4	2.643	1	14.25484668	9.94146195	107.3900818
A2	A	inicial	4127.6	2.575	0	13.06186556	7.636434071	98.06110587
A3	A	inicial	4302.8	2.603	0	10.74025706	6.679196183	98.68582122
A3	A	inicial	5172.4	2.657	30	14.0576262	8.285978591	107.4893976
A3	A	inicial	3243.2	2.589	6	13.30783122	7.490951057	100.4571668
B1	B	inicial	3703.2	2.322	4	14.86310814	8.128175068	101.1300328
B1	B	inicial	2522.4	2.408	0	14.58492535	7.923415317	110.0615835
B1	B	inicial	4727.2	2.204	0	14.07955015	7.620817844	91.42685462
B2	B	inicial	3139.2	2.343	0	15.30213351	6.662874209	100.3499419
B2	B	inicial	3574.8	2.351	0	14.91795495	7.399635036	102.0652095
B2	B	inicial	4050	2.59	4	15.75241634	8.632566951	112.7129638
B3	B	inicial	3451.2	2.512	0	12.85866643	8.858267717	99.85809352
B3	B	inicial	4479.6	2.572	2	13.19960179	8.708848938	99.97132402
B3	B	inicial	2755.2	2.546	0	9.722475325	8.743464936	111.2980845
C1	C	inicial	2041.6	2.399	0	14.36489232	8.500616799	116.8481496
C1	C	inicial	1525.6	2.173	0	13.34463618	10.23226616	121.018574
C1	C	inicial	2754.8	2.306	0	17.89957328	8.826945412	99.42881497
C2	C	inicial	2458.4	2.567	0	17.97310358	9.684507927	124.1048949
C2	C	inicial	2296	2.562	0	15.73825946	7.815509377	118.8370686
C2	C	inicial	2238.8	2.415	0	14.16640257	9.788416328	124.5368035
C3	C	inicial	2555.2	2.561	0	12.84089419	7.781496534	111.7309464
C3	C	inicial	3842	2.564	0	12.68803001	9.535213333	111.5871228
C3	C	inicial	3199.2	2.578	0	14.74973714	9.449096963	116.1447679
D1	D	inicial	1504	2.362	0	11.70589052	6.861402708	98.85917821
D1	D	inicial	2212.4	2.155	0	16.33783314	6.7382564	106.3964915
D1	D	inicial	1688.8	2.563	0	14.5341239	8.55259574	114.8214476
D2	D	inicial	1839.6	2.474	0	15.02723536	9.192107996	137.8894513
D2	D	inicial	1986	2.322	0	17.29013593	8.438431552	125.1015226
D2	D	inicial	2256.8	2.258	0	15.44129055	10.12541806	140.2943341
D3	D	inicial	3500.8	2.402	0	13.19972564	8.251715442	133.0516588
D3	D	inicial	1031.2	2.29	0	14.06391384	9.129708666	138.049827
D3	D	inicial	2478.8	2.511	0	14.15926371	8.701971689	124.1185017
CONTROL1	CONTROL	inicial	1549.2	2.681	16	9.776636109	7.86861762	103.1645552
CONTROL2	CONTROL	inicial	1807.6	2.461	33	10.64149614	7.215137233	97.29108464
CONTROL3	CONTROL	inicial	872.8	2.478	74	10.09885386	8.549471662	91.78962687
CONTROL1	CONTROL	inicial	1582.8	2.301	25	11.31164697	6.955804007	96.37741409
