Management	Runoff coefficient	Erosion rate (g m2)
A	0	0
A	0	0
B	0.596430684	2.298212545
B	0	0
C	0	0
C	0.467417508	1.637371209
D	0.52069271	2.075125979
D	0.064428403	0.652422975
A	0	0
A	0	0
A	0	0
B	0	0
B	0	0
B	0.162389571	0.837626917
C	0.314500834	3.152676184
C	0	0
C	0.119886169	0.900764624
CTRL	0	0
CTRL	0	0
CTRL	0	0
D	0	0
D	0	0
D	0.019609901	0.08418361
A	0	0
A	0	0
A	0	0
B	0	0
B	0	0
B	0	0
C	0	0
C	0	0
C	0	0
CTRL	0	0
CTRL	0	0
CTRL	0	0
D	0	0
D	0	0
D	0.017203303	0.037882624
