Management	Diff(2020-2023) (%)
CONTROL	-67.83509462
CONTROL	-150.3716643
CONTROL	-24.46281294
CONTROL	5.069142603
CONTROL	0.205240192
A	-159.2987002
A	-73.98804217
A	-4.265546665
A	-28.46728778
A	18.87870239
A	32.32191213
B	-29.56562245
B	-134.875902
B	-13.55522824
B	-52.81984175
B	44.24513055
B	12.63710332
C	-100.4084545
C	-36.06486467
C	-18.55176403
C	-33.25469694
C	14.93005709
C	22.52068031
D	-18.13300229
D	-104.6307948
D	46.7054896
D	27.97954269
D	-21.2991441
D	-73.20502604
