Function1	Function2	Group
1.481	-4.335	CTRL
1.407	-4.287	CTRL
1.058	-1.114	CTRL
3.158	-3.29	CTRL
1.137	-1.811	CTRL
-3.232	1.13	A
-6.529	-0.905	A
-6.27	-0.345	A
-4.803	1.013	A
-6.299	1.404	A
-3.657	-1.051	A
-1.737	1.418	B
-1.998	1.131	B
-1.555	-1.423	B
-2.941	0.684	B
-1.927	0.309	B
-1.904	0.451	B
1.219	-0.445	C 
1.14	0.164	C
0.808	1.655	C
2.227	1.738	C
1.413	1.105	C
-0.752	0.168	C
4.541	1.567	D
3.465	1.015	D
5.711	1.115	D
4.505	1.312	D
6.027	0.749	D
4.307	0.878	D
1.648	-2.967	CTRL_C
-5.132	0.208	A_C
-2.01	0.428	B_C
1.009	0.731	C_C
4.759	1.106	D_C
